921 57
0.0 0.0 1.63 0.0 0.0 0.65 0.0 0.0 0.0 0.0 0.32 0.32 0.0 0.0 0.0 0.32 0.0 0.0 1.96 0.98 2.94 0.0 1.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.11 0.0 0.276 0.83 0.166 3.8 33.0 228.0 
0.0 0.0 0.0 0.0 0.39 0.39 0.39 0.39 0.0 0.0 0.39 0.0 0.0 0.0 0.0 0.39 0.0 0.0 3.52 0.0 1.96 0.0 0.0 0.39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.124 0.0 0.0 1.94 12.0 97.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.055 3.0 38.0 
0.0 0.36 0.0 0.0 0.0 0.36 1.47 0.0 0.0 0.36 0.36 0.73 0.0 0.0 0.0 0.36 0.0 1.1 2.2 0.0 0.73 0.0 0.36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.183 0.0 0.367 0.061 0.122 4.0 36.0 264.0 
0.0 0.0 0.24 0.0 0.72 0.0 0.0 0.0 0.48 0.0 0.0 0.48 0.0 0.0 0.0 0.0 0.0 0.96 0.96 0.0 0.72 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.24 0.0 0.0 0.0 0.0 0.0 0.0 0.328 0.0 0.0 1.74 48.0 141.0 
0.17 0.0 0.17 0.17 1.44 0.34 0.05 0.05 0.05 0.05 0.05 0.51 0.28 0.05 0.0 0.0 0.69 0.05 4.14 0.23 1.09 0.17 0.74 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.05 0.0 0.01 0.161 0.03 2.051 51.0 521.0 
0.98 0.0 0.32 0.0 0.98 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.98 0.0 0.0 0.65 0.0 0.0 3.6 0.0 3.93 0.0 0.32 0.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.529 0.411 0.0 3.964 132.0 222.0 
0.07 0.64 0.64 0.0 0.35 0.71 0.57 0.14 1.14 0.5 0.07 0.35 0.21 0.0 1.0 0.14 0.07 1.14 1.5 0.0 1.14 0.0 0.35 0.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.07 0.0 0.0 0.0 0.0 0.0 0.07 0.0 0.0 0.0 0.08 0.0 0.309 0.103 0.0 4.923 117.0 1295.0 
0.0 0.0 0.71 0.0 0.89 0.17 0.17 0.0 0.0 1.24 0.17 0.0 0.0 0.0 0.89 0.0 0.17 0.35 1.24 0.17 1.42 6.41 1.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.278 0.216 0.836 8.523 58.0 895.0 
0.0 0.0 0.38 0.0 1.15 0.38 0.0 0.19 0.19 0.0 0.0 1.72 0.0 0.0 0.0 0.0 0.19 0.0 4.03 0.0 2.3 0.0 0.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.031 0.0 0.349 0.0 0.0 5.886 105.0 312.0 
